title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
Kill Bill: Vol. 1,24,10/10/2003,1h 51m,2,"Action,Crime",80,18,English,"30,000,000.00","180,899,265.00",https://www.themoviedb.org/movie/24
The Binding,741998,10/2/2020,1h 33m,3,"Horror,Thriller,Drama",55,0,Italian, NaN, NaN,https://www.themoviedb.org/movie/741998
Latte and the Magic Waterstone,586954,12/11/2019,1h 29m,4,"Animation,Adventure,Family,Comedy",68,2,German, NaN,"4,983,582.00",https://www.themoviedb.org/movie/586954
Mercenaries,277597,8/5/2014,1h 30m,1,Action,53,5,English, NaN, NaN,https://www.themoviedb.org/movie/277597
Jeepers Creepers 3,55341,9/26/2017,1h 40m,3,"Horror,Mystery,Thriller",48,14,English,"6,200,000.00","3,600,000.00",https://www.themoviedb.org/movie/55341
Army of One,768939,12/14/2020,1h 27m,1,Action,52,1,English, NaN, NaN,https://www.themoviedb.org/movie/768939
The Four of Us,874965,10/15/2021,1h 28m,3,"Comedy,Romance,Drama",55,0,German, NaN, NaN,https://www.themoviedb.org/movie/874965
Truth or Dare,460019,4/12/2018,1h 40m,2,"Thriller,Horror",60,14,English,"3,500,000.00","95,330,493.00",https://www.themoviedb.org/movie/460019
Cloverfield,7191,1/15/2008,1h 25m,3,"Action,Thriller,Science Fiction",66,14,English,"25,000,000.00","170,764,026.00",https://www.themoviedb.org/movie/7191
Barbie: A Fairy Secret,57737,3/1/2011,1h 12m,3,"Animation,Family,Fantasy",67,3,English, NaN, NaN,https://www.themoviedb.org/movie/57737
Solo: A Star Wars Story,348350,5/15/2018,2h 15m,4,"Science Fiction,Adventure,Action,Crime",66,5,English,"250,000,000.00","392,952,373.00",https://www.themoviedb.org/movie/348350
We Are the Nobles,180147,3/28/2013,1h 48m,1,Comedy,78,3,Spanish; Castilian,"2,000,000.00", NaN,https://www.themoviedb.org/movie/180147
